,Síria,Dólar,Belo_Horizonte,Itabirito,Rússia,China,Lula,Ucrânia,Campeonato_Mineiro_de_Futebol,GTA_6,Cruzeiro_Esporte_Clube,Clube_Atlético_Mineiro,Venezuela,Neymar,Donald_Trump
1,2,0,0,0,1,0,1,1,3,1,0,0,2,0,1
2,3,3,3,1,4,3,3,2,1,4,3,3,1,1,2
3,0,4,1,4,0,1,0,0,2,3,1,1,0,2,0
4,4,2,2,3,2,4,2,3,4,2,2,2,4,4,4
5,1,1,4,2,3,2,4,4,0,0,4,4,3,3,3
