title;link
Governo assina concessão da BR-381, sem outorga: 'Rodovia da vida', celebra Lula;EBC - Empresa Brasil de Comunicação
ESTADÃO ANALISA 🎧 "Desaceleração econômica complica situação de Lula, mas ele dobrará a aposta na expansão fiscal para chegar competitivo em 2026", avalia Carlos Andreazza ( @andreazzaeditor Acompanhe o programa ao vivo de segunda à sexta;Instagram
Governo descarta mudança em data de validade de alimentos após críticas nas redes;UOL
O polêmico veto de Lula: como a possível taxação dos fundos imobiliários pode impactar o investimento em FIIs;Seu Dinheiro
Lula (@LulaOficial) on X;Lula (@LulaOficial) / X
Lula veta destinação de recursos do Paten para reduzir a CDE;MegaWhat
Entenda o que Lula cobrou de Nísia para mantê-la na Saúde, área que mantém avaliação ruim;O Globo
Pesquisas apontam governo Lula com reprovação acima de 50%;Real Time1
Lula comemora indicações de ‘Ainda Estou Aqui’ ao Oscar: ‘Quanto orgulho’;Band Jornalismo
'Já pode pedir música': Lula celebra indicações de Fernanda Torres e 'Ainda Estou Aqui' ao Oscar 2025;Terra
Governo Lula estuda medidas para baratear alimentos  Rui Costa descarta mudança em data de validade;Economia & Negócios Estadão
Governo corrigiu rapidamente ruído sobre intervenção em preços de alimentos  equipe econômica não quer nem ouvir essa palavra;G1
Por que estrada concedida pelo governo Lula em Minas é conhecida como ‘rodovia da morte’?;Estadão
Governo descarta mudança em data de validade de alimentos;Gazeta do Povo
Lula sinaliza não disputar a reeleição, mas ministros o veem candidato;Poder360
Lula comemora indicações de "Ainda Estou Aqui" ao Oscar: "Orgulho";Metrópoles
Presidente de ONG ligada ao PCC se reuniu com ministérios de Lula;Poder360
Lula não é mais um 'player' nas negociações entre Ucrânia e Rússia, e também não será com Trump, diz Zelensky;G1
Entidades intensificam campanha para que servidores assinem carta que será entregue a Lula;Condsef
Lula determina que ministros participem da eleição no Congresso;Poder360
Lula lança em fevereiro plano para desenvolvimento ferroviário;Monitor Mercantil
Troca de farpas entre Zema e Lula com clima de campanha eleitoral;Correio Braziliense
Entenda o que é o Programa de Transição Energética, sancionado com vetos pelo presidente Lula;JOTA
Na 1ª reunião ministerial de 2025, Lula cobra por erros na mudança do Pix;Band Jornalismo
Lula parabeniza Fernanda Torres e Walter Salles por indicações ao Oscar de "Ainda Estou Aqui";Terra
Lula parabeniza Fernanda Torres e ‘Ainda estou aqui’: 'Podem pedir música';Estado de Minas
