title;link
Ucrânia mata general russo em Moscou com ataque a bomba;Band Jornalismo
Ucrânia não lograria aderir à OTAN mesmo após conversações de paz, diz mídia;Tribuna do Sertão
Vida & Sociedade | Trump pressiona Rússia com ameaça de novas sanções para encerrar conflito na Ucrânia;AF Notícias
Zelensky: Lula perdeu relevância como mediador de conflito na Ucrânia;Metrópoles
Secretário-geral da NATO pede mais apoio para a Ucrânia e apoia a exigência de Trump de um orçamento para a defesa;Euronews
Em direto/ Europa estará a planear o envio de 50 mil soldados de cinco ou seis países para a Ucrânia;Observador
Um morto e 16 feridos após ataque russo contra a cidade ucraniana de Zaporíjia;O Globo
Ucrânia realiza grande operação contra tráfico ilegal de armas;Folha de Pernambuco 
Zelensky diz que Lula não é relevante em negociações sobre Ucrânia;Band Jornalismo
Ameaça nuclear: Especialista fala sobre tensão entre Rússia e Ucrânia;Band Jornalismo
Chefe da OTAN diz que Europa pagará por armas dos EUA para a Ucrânia;Forças Terrestres
Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia;Rádio Tucunaré
Zelensky descarta Lula como ator relevante para negociações de paz na Ucrânia;ClicRDC
Trump ameaça punir Rússia com sanções se Putin não concordar em discutir fim da guerra da Ucrânia;Jovem Pan
Trump ameaça Putin com sanções caso Rússia não negocie fim da guerra na Ucrânia;GZH
Ucrânia faz ataque contra Rússia usando mísseis fabricados pelos EUA;Band Jornalismo
Trump pede para Putin acabar com a 'ridícula' guerra na Ucrânia ou enfrentar novas sanções;Correio Braziliense
Trump pede a Putin que faça um acordo com a Ucrânia e ameaça aplicar sanções;GZH
Trump ameaça sanções à Rússia se a guerra não acabar em breve;BP Money
Trump promete aumentar sanções à Rússia se guerra na Ucrânia não chegar ao fim;TV Cultura
Trump ameaça Rússia e outros países com tarifas se não houver acordo sobre Ucrânia;Money Times
Presidente Da Ucrânia, Volodymyr Zelensky Diz Que Lula Não É Relevante Para Fim Da Guerra;MSN
Qual deve ser a postura de Trump com as guerras na Ucrânia e em Israel?;Band Jornalismo
Guerra na Ucrânia: ataques de drones russos deixa 9 feridos e um morto;Band Jornalismo
