title;link
Atuações do Atlético-MG: Gabriel Delfim tem boa atuação, e ataque deixa a desejar  veja notas e avalie;Globo
Início dos estaduais: de quantas partidas os clubes precisam para atingir o alto desempenho?;O Tempo
modulo 2 campeonato mineiro 2023;Prefeitura de Marabá - Pa
Cruzeiro x Athletic: torcedores chegam confiantes para jogão no Mané;Metrópoles
Torcida do Cruzeiro critica Cássio, que rebate: “Infeliz“;CNN Brasil
Matheus Henrique é pilar do Cruzeiro, que enfrenta Itabirito em BH;Metrópoles
Criticado por torcedor, Cássio, do Cruzeiro, responde nas redes sociais  veja conversa;Itatiaia
Atlético 1 x 1 Democrata-GV: veja os gols e melhores momentos;No Ataque
Atlético-MG tropeça em casa com o Democrata e segue sem vencer no Campeonato Mineiro;Tribuna do Agreste
Cruzeiro amplia jejum em Brasília ao perder para Athletic;No Ataque
Emocionado, volante admite situação delicada no elenco após Atlético x Democrata-GV;No Ataque
Quem é Dudu, zagueiro que marcou 1º gol do Atlético em 2025?;No Ataque
Atlético leva gol relâmpago do Democrata-GV e reage com garoto, mas tropeça no Mineiro;No Ataque
Fernando Diniz revela quando Gabigol irá estrear pelo Cruzeiro no Mineiro: "O melhor possível";Antenados no Futebol
Athletic 1 x 0 Cruzeiro: gol e melhores momentos pelo Mineiro;No Ataque
Robert faz autoavaliação sobre desempenho pelo Atlético no Mineiro: ‘Poucos erros’;No Ataque
“Temos tudo pra fazer um grande jogo contra o Cruzeiro”, diz atacante Paulo Henrique;O Tempo Betim
Atlético registra 2º pior público no Mineirão desde reinauguração  veja ranking;No Ataque
Acompanhe Atlético x Democrata e Athletic x Cruzeiro pelo Campeonato Mineiro;Portal MPA
Ao vivo - Athletic 1 x 0 Cruzeiro - Mineiro 2025 - Acompanhe todos os lances;Band Jornalismo
Jaeci critica Diniz após derrota do Cruzeiro e alerta: ‘Pedrinho não gostou do que viu’;No Ataque
Diniz faz previsão para Cruzeiro x Betim: ‘O melhor para o clube’;No Ataque
classificação campeonato mineiro 2023;cesu.cps.sp.gov.br
Fabrício Bruno faz contra, Athletic vence Cruzeiro e assume a liderança isolada do grupo B do Mineiro;VAVEL.com
EstrelaBet acerta patrocínio ao Villa Nova-MG para a disputa do Campeonato Mineiro 2025;BNLData
Cruzeiro joga mal, faz gol contra e perde para o Athletic no Mineiro;No Ataque
Fabrício Bruno faz contra, e Cruzeiro perde primeira no Mineiro;SportBuzz
Fernando Diniz reconhece que mereceu as vaias em Brasília;LANCE!
Lucas Romero reage às vaias da torcida do Cruzeiro e cita ‘paciência’;Itatiaia
