title;link
Com retorno de Trump, Rússia e EUA atacam globalistas de 2 frentes, diz filósofo russo;Tribuna do Sertão
Preparativos para conversa entre Putin e Trump continuam, diz Rússia;Metrópoles
Todos contra Trump: Europa e Canadá estão prontos para revidar tarifaço  Rússia recebe a primeira ameaça do republicano;Seu Dinheiro
Trump sugere impor novas sanções à Rússia caso país se negue a negociar fim da guerra na Ucrânia - Jornal O;Jornal O Sul
Trump ameaça impor sanções à Rússia se Putin não terminar guerra;ANSA Brasil
Trump diz que faz "grande favor" à Rússia ao oferecer acordo de paz na Ucrânia e ameaça com sanções;Agência Brasil China
Donald Trump acelera a questão da imigração e, pela primeira vez no novo mandato, faz ameaças à Rússia;G1
Moscovo mantém porta aberta para o diálogo com Trump, apesar de ameaças;Público
Soldados ucranianos pedem mais armas perante contínuos ataques russos;Euronews
BANCOS INDIANOS DEIXARAM DE PAGAR PELO PETRÓLEO RUSSO DEPOIS DAS SANÇÕES AMERICANAS. BRASIL IMPORTA DIESEL E CORRE RISCO;Petronotícias
As ameaças de Trump contra Moscovo por causa da Ucrânia foram vistas por alguns na Rússia como um falso começo insultuoso;DailyNerd
Trump ameaça a Rússia e outros países com sanções se não for alcançado um acordo com a Ucrânia;Euronews
Rússia: uma potência sem porta-aviões! Com o Almirante Kuznetsov abandonado em reparos intermináveis, o país vê sua força naval desmoronar;Revista Sociedade Militar
Biden autoriza Urcrânia a usar mísseis contra a Rússia | Jornal Gente;Band Jornalismo
Donald Trump ameaça impor sanções à Rússia caso um acordo de paz não seja feito com a Ucrânia;R7
Ameaça nuclear: Especialista fala sobre tensão entre Rússia e Ucrânia;Band Jornalismo
Trump ameaça aumentar Sanções à Rússia em caso de falha nas negociações sobre a guerra;Jornal Opção
Trump chega com força: Ameaças à Rússia e uma Venezuela armada até os dentes;Jetss
Trump ameaça Rússia caso acordo sobre Ucrânia não seja concluído;Revista Fórum
Trump ameaça impor mais sanções à Rússia caso Putin não encerre a guerra na Ucrânia;SBT
Tensão no mundo: Trump ameaça Putin e Maduro escala retórica militar;Metrópoles
Trump ameaça sancionar a Rússia caso Putin não encerre a guerra na Ucrânia | SBT Brasil (22/01/25);SBT
Reunião do BRICS começa na próxima semana na Rússia | Jornal Gente;Band Jornalismo
Trump apela a Putin para pôr fim à guerra na Ucrânia;DW África
